Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
table,off,off,on,0.025842,0.286853,0.480594,0.155541,0.202382,14.417131
table,off,off,on,0.036164,0.286362,0.557904,0.203868,0.226558,20.077779
table,off,off,on,0.045983,0.287468,0.51261,0.170725,0.195894,11.466213
plot+table,off,off,on,0.032845,0.297063,0.525769,0.166553,0.219002,20.048514
plot+table,off,off,on,0.038318,0.296585,0.571688,0.209416,0.226059,17.678435
plot+table,off,off,on,0.04924,0.290797,0.550516,0.188651,0.201766,18.366927
plot,on,off,on,0.032894,0.314406,0.533786,0.170146,0.188625,13.964512
plot,on,off,on,0.034813,0.314316,0.587473,0.178162,0.203356,19.51258
plot,on,off,on,0.0471,0.29066,0.563202,0.201448,0.202309,15.267981
table,on,off,on,0.025887,0.277022,0.461278,0.121859,0.154367,14.557336
table,on,off,on,0.032165,0.285495,0.516063,0.146667,0.168831,11.596866
table,on,off,on,0.034962,0.280932,0.476416,0.148508,0.170805,16.374215
plot+table,on,off,on,0.025919,0.308374,0.466184,0.13552,0.155847,16.147362
plot+table,on,off,on,0.027229,0.304265,0.547315,0.162135,0.174497,16.453098
plot+table,on,off,on,0.042309,0.297328,0.525134,0.182669,0.181283,20.811276
plot,on,on,off,0.025839,0.305444,0.455519,0.146569,0.164564,6.438004
plot,on,on,off,0.027052,0.302478,0.570319,0.16281,0.183015,11.726844
plot,on,on,off,0.034791,0.285831,0.483283,0.17216,0.178153,13.951902
table,on,on,off,0.015189,0.28243,0.392537,0.108671,0.134007,5.372235
table,on,on,off,0.021053,0.289093,0.482634,0.12719,0.154938,9.38316
table,on,on,off,0.025572,0.276763,0.461842,0.136638,0.157071,10.780706
plot+table,on,on,off,0.021719,0.285655,0.431445,0.117455,0.145482,14.721754
plot+table,on,on,off,0.027426,0.300157,0.50719,0.149063,0.163834,11.019084
plot+table,on,on,off,0.030251,0.287509,0.454937,0.158888,0.166354,18.382787
plot,off,on,on,0.032788,0.307345,0.499699,0.173431,0.212884,13.984421
plot,off,on,on,0.041255,0.320543,0.57904,0.219882,0.241187,16.432893
plot,off,on,on,0.044521,0.300689,0.521056,0.18204,0.19851,10.415423
table,off,on,on,0.026712,0.284307,0.454959,0.146281,0.188276,11.535508
table,off,on,on,0.031974,0.294338,0.526996,0.18273,0.214678,12.951901
table,off,on,on,0.045888,0.29363,0.508777,0.169257,0.186475,14.379704
plot+table,off,on,on,0.025819,0.299539,0.450893,0.15293,0.183866,14.164757
plot+table,off,on,on,0.023775,0.309101,0.513718,0.185136,0.208513,12.38981
plot+table,off,on,on,0.041547,0.294712,0.50554,0.180467,0.188763,19.51432
plot,on,on,on,0.031641,0.310576,0.479876,0.153063,0.17249,10.341538
plot,on,on,on,0.037641,0.321687,0.561843,0.177544,0.192331,14.793783
plot,on,on,on,0.040934,0.296467,0.512069,0.180412,0.189585,12.99794
table,on,on,on,0.017994,0.283992,0.403772,0.106967,0.13652,7.852418
table,on,on,on,0.027919,0.290112,0.476647,0.13026,0.158985,6.560149
table,on,on,on,0.036529,0.278094,0.44651,0.145319,0.161894,7.145311
plot+table,on,on,on,0.021082,0.298838,0.446829,0.129459,0.151111,8.599898
plot+table,on,on,on,0.024976,0.310907,0.496929,0.15303,0.165829,13.400847
plot+table,on,on,on,0.029565,0.295573,0.468854,0.156858,0.164191,13.870673
plot,off,off,off,0.035718,0.308729,0.581179,0.199971,0.24104,21.749145
plot,off,off,off,0.039068,0.314013,0.615058,0.23338,0.262283,24.029663
plot,off,off,off,0.075921,0.300594,0.60548,0.230185,0.241004,23.855906
table,off,off,off,0.027887,0.277393,0.467829,0.142352,0.18949,16.450835
table,off,off,off,0.036425,0.278734,0.523424,0.188132,0.216717,15.733792
table,off,off,off,0.041171,0.298754,0.515422,0.168106,0.189445,19.085902
plot+table,off,off,off,0.032301,0.291527,0.491607,0.155686,0.201424,20.359553
plot+table,off,off,off,0.037283,0.302221,0.553171,0.212432,0.227098,22.833449
plot+table,off,off,off,0.045771,0.303259,0.538026,0.188044,0.208972,23.654459
plot,on,off,off,0.03301,0.310563,0.541276,0.162241,0.187029,11.65705
plot,on,off,off,0.040725,0.316263,0.595865,0.193462,0.199066,19.785891
plot,on,off,off,0.042246,0.299705,0.54643,0.204832,0.207729,19.607321
table,on,off,off,0.020324,0.281709,0.429564,0.118656,0.1462,16.394827
table,on,off,off,0.028048,0.282374,0.506831,0.14315,0.169057,10.447856
table,on,off,off,0.033089,0.282192,0.484734,0.153963,0.172849,17.848722
plot+table,on,off,off,0.021279,0.294687,0.459425,0.124141,0.150425,17.760506
plot+table,on,off,off,0.036619,0.296071,0.521314,0.154769,0.163877,21.203249
plot+table,on,off,off,0.034552,0.289253,0.518705,0.172947,0.186385,25.337333
plot,off,on,off,0.02983,0.309404,0.512177,0.171255,0.213103,11.172934
plot,off,on,off,0.024197,0.309012,0.563316,0.207473,0.227452,16.166502
plot,off,on,off,0.048394,0.310066,0.549638,0.20287,0.214458,13.981168
table,off,on,off,0.021548,0.27351,0.40554,0.122511,0.167713,12.530905
table,off,on,off,0.025013,0.288969,0.499549,0.173782,0.195972,12.319755
table,off,on,off,0.039328,0.291661,0.46941,0.154036,0.175998,10.690229
plot+table,off,on,off,0.021546,0.285482,0.434105,0.134486,0.178209,15.790153
plot+table,off,on,off,0.027942,0.302485,0.518882,0.190065,0.205174,17.627765
plot+table,off,on,off,0.04273,0.298186,0.49507,0.172153,0.188244,18.710586
plot,off,off,on,0.038109,0.302574,0.558185,0.194705,0.238342,16.977901
plot,off,off,on,0.040102,0.303066,0.635005,0.238879,0.259224,21.175899
plot,off,off,on,0.062765,0.295689,0.575303,0.206831,0.22559,15.965443
table,off,off,on,0.025116,0.283234,0.479904,0.146073,0.201233,14.766665
table,off,off,on,0.027725,0.283901,0.537111,0.188489,0.225621,16.193641
table,off,off,on,0.046632,0.290942,0.533592,0.170848,0.201851,18.577821
plot+table,off,off,on,0.029477,0.297158,0.516052,0.165756,0.211269,20.419078
plot+table,off,off,on,0.046983,0.288567,0.591193,0.218945,0.245322,17.221471
plot+table,off,off,on,0.04565,0.309096,0.547602,0.191869,0.208972,20.143817
plot,on,off,on,0.027074,0.31696,0.52923,0.156878,0.177955,11.333241
plot,on,off,on,0.031984,0.316028,0.586088,0.18786,0.201612,19.548898
plot,on,off,on,0.059954,0.291919,0.564867,0.203353,0.209497,16.915631
table,on,off,on,0.024248,0.288703,0.439721,0.125664,0.155154,10.206727
table,on,off,on,0.031259,0.289895,0.505789,0.140304,0.170361,10.87119
table,on,off,on,0.041647,0.268911,0.49971,0.159164,0.17712,16.496598
plot+table,on,off,on,0.028933,0.299122,0.478731,0.135268,0.162774,18.648223
plot+table,on,off,on,0.02123,0.299555,0.554568,0.159651,0.171333,18.140283
plot+table,on,off,on,0.031826,0.287904,0.533589,0.175361,0.191809,19.909256
plot,on,on,off,0.019165,0.306582,0.44931,0.135755,0.156895,5.540267
plot,on,on,off,0.035788,0.313239,0.556098,0.175053,0.190244,17.142269
plot,on,on,off,0.029403,0.293736,0.472361,0.161568,0.169687,11.840331
table,on,on,off,0.017257,0.278454,0.397944,0.106379,0.136564,10.507597
table,on,on,off,0.027214,0.2846,0.467369,0.123536,0.151595,6.260943
table,on,on,off,0.021207,0.289503,0.417172,0.130046,0.148506,12.913891
plot+table,on,on,off,0.021904,0.29781,0.425418,0.123011,0.141669,12.673181
plot+table,on,on,off,0.019767,0.303551,0.471094,0.144308,0.146094,10.212585
plot+table,on,on,off,0.031588,0.288066,0.467515,0.152665,0.16913,18.803531
plot,off,on,on,0.034344,0.306799,0.503974,0.167543,0.208094,9.662541
plot,off,on,on,0.034211,0.311682,0.574674,0.209937,0.236311,14.481861
plot,off,on,on,0.053084,0.298358,0.528958,0.183476,0.203618,10.674371
table,off,on,on,0.020338,0.28725,0.427603,0.133378,0.181131,8.721993
table,off,on,on,0.028604,0.296072,0.517268,0.179948,0.2066,11.473475
table,off,on,on,0.042257,0.292982,0.470912,0.150983,0.177411,7.447015
plot+table,off,on,on,0.023785,0.304744,0.446768,0.148954,0.184411,10.939018
plot+table,off,on,on,0.030736,0.301405,0.547479,0.198166,0.211198,14.023934
plot+table,off,on,on,0.043736,0.294342,0.520874,0.17146,0.191042,14.857941
plot,on,on,on,0.023384,0.306916,0.46245,0.144843,0.162698,7.041668
plot,on,on,on,0.036498,0.318477,0.543415,0.17648,0.191179,12.677707
plot,on,on,on,0.036409,0.290419,0.496158,0.16569,0.177106,12.154712
table,on,on,on,0.021378,0.297179,0.415349,0.113665,0.139785,6.259771
table,on,on,on,0.02108,0.288899,0.463946,0.12553,0.152114,5.998501
table,on,on,on,0.022853,0.282979,0.417246,0.132353,0.146831,13.144977
plot+table,on,on,on,0.022998,0.301281,0.435226,0.132072,0.152007,6.656749
plot+table,on,on,on,0.028229,0.303924,0.520655,0.157175,0.16584,13.641028
plot+table,on,on,on,0.029217,0.290477,0.465673,0.152365,0.166882,14.413936
