Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot+table,off,off,on,0.068456,0.278662,0.583862,0.202326,0.232911,41.092896
plot,on,off,on,0.046487,0.287759,0.628096,0.190796,0.264685,35.669494
plot,on,off,on,0.060451,0.270372,0.616641,0.212409,0.267491,44.23685
plot,on,off,on,0.071298,0.268977,0.609157,0.214665,0.253095,39.64917
table,on,off,on,0.030284,0.269624,0.52024,0.144258,0.221695,33.81169
table,on,off,on,0.047629,0.262616,0.553287,0.172794,0.236015,38.115269
table,on,off,on,0.046435,0.274846,0.542417,0.166121,0.199148,31.819766
plot+table,on,off,on,0.051499,0.281458,0.595091,0.176647,0.245453,35.665872
plot+table,on,off,on,0.058358,0.278194,0.590341,0.189088,0.253122,44.746558
plot+table,on,off,on,0.06155,0.278564,0.584406,0.188374,0.230599,39.18981
plot,on,on,off,0.073735,0.256548,0.605634,0.201957,0.278169,35.886938
plot,on,on,off,0.058343,0.253121,0.598503,0.213015,0.272812,44.569712
plot,on,on,off,0.067435,0.26628,0.60008,0.208668,0.243883,40.860714
table,on,on,off,0.036182,0.259375,0.478607,0.136068,0.203895,32.254117
table,on,on,off,0.045064,0.254021,0.532197,0.171259,0.224688,37.855211
table,on,on,off,0.046993,0.257005,0.517224,0.153009,0.194495,33.263157
plot+table,on,on,off,0.03911,0.273955,0.554061,0.164147,0.235841,32.101679
plot+table,on,on,off,0.053247,0.246654,0.581702,0.190801,0.256259,48.057443
plot+table,on,on,off,0.052943,0.250856,0.562048,0.17869,0.228259,39.009675
plot,off,on,on,0.049332,0.274563,0.584741,0.221313,0.267829,28.369789
plot,off,on,on,0.056292,0.287817,0.579854,0.208812,0.256607,35.384608
plot,off,on,on,0.07358,0.280553,0.585536,0.201249,0.233113,34.3252
table,off,on,on,0.040186,0.27368,0.520328,0.179991,0.225692,29.359358
table,off,on,on,0.05739,0.266828,0.560249,0.192795,0.236714,33.531842
table,off,on,on,0.060122,0.281685,0.530071,0.177483,0.207419,32.637591
plot+table,off,on,on,0.059592,0.280322,0.580942,0.202339,0.26107,26.171298
plot+table,off,on,on,0.068946,0.274749,0.577866,0.205466,0.254835,33.028472
plot+table,off,on,on,0.06921,0.284991,0.575933,0.206063,0.233666,34.397585
plot,on,on,on,0.054645,0.293793,0.601912,0.189891,0.264595,31.972101
plot,on,on,on,0.056459,0.274919,0.613129,0.193082,0.260832,38.590935
plot,on,on,on,0.063298,0.261812,0.576271,0.198133,0.234241,34.388236
table,on,on,on,0.030767,0.263513,0.490906,0.137122,0.211934,28.976707
table,on,on,on,0.051129,0.26757,0.536773,0.17604,0.234886,37.292504
table,on,on,on,0.056624,0.265229,0.519011,0.166127,0.198806,34.693145
plot+table,on,on,on,0.042365,0.285055,0.563016,0.168636,0.240091,29.097593
plot+table,on,on,on,0.059637,0.265512,0.566368,0.186783,0.253803,40.486769
plot+table,on,on,on,0.054086,0.26958,0.562401,0.183295,0.22489,35.317137
plot,off,off,off,0.05531,0.249347,0.623371,0.232994,0.293974,41.681692
plot,off,off,off,0.067994,0.264362,0.620234,0.216979,0.279921,47.241723
plot,off,off,off,0.071453,0.251233,0.607219,0.225149,0.252654,49.014911
table,off,off,off,0.037663,0.260164,0.507555,0.168698,0.218034,33.704931
table,off,off,off,0.059646,0.264519,0.548711,0.194133,0.245227,39.07148
table,off,off,off,0.071942,0.266384,0.562511,0.176751,0.218304,39.013526
plot+table,off,off,off,0.052336,0.255634,0.570885,0.197982,0.261465,41.365148
plot+table,off,off,off,0.065198,0.23284,0.564138,0.194477,0.257945,48.805387
plot+table,off,off,off,0.060604,0.240105,0.570382,0.188441,0.235557,47.58571
plot,on,off,off,0.052569,0.25412,0.630386,0.199555,0.291726,44.925893
plot,on,off,off,0.060826,0.252015,0.623981,0.223129,0.290168,56.070027
plot,on,off,off,0.068018,0.241929,0.600442,0.227534,0.277876,47.965339
table,on,off,off,0.025873,0.261765,0.498225,0.132469,0.215465,36.673995
table,on,off,off,0.049894,0.232044,0.52466,0.166312,0.231293,42.912409
table,on,off,off,0.057265,0.26758,0.530165,0.172623,0.202899,35.691745
plot+table,on,off,off,0.042963,0.243688,0.537053,0.153244,0.246312,41.535106
plot+table,on,off,off,0.043392,0.214907,0.544184,0.177323,0.254119,55.89472
plot+table,on,off,off,0.060018,0.241098,0.570913,0.186635,0.240321,48.023522
plot,off,on,off,0.061792,0.254068,0.588785,0.216206,0.280763,31.495302
plot,off,on,off,0.066495,0.272226,0.615385,0.211739,0.274663,39.301706
plot,off,on,off,0.081209,0.277371,0.615562,0.224693,0.251821,39.858296
table,off,on,off,0.036346,0.260152,0.508715,0.174685,0.226275,32.095628
table,off,on,off,0.053558,0.268508,0.547279,0.179537,0.231185,33.385931
table,off,on,off,0.064172,0.275687,0.542001,0.180508,0.210251,35.696248
plot+table,off,on,off,0.051158,0.263256,0.551013,0.183144,0.243868,36.504161
plot+table,off,on,off,0.062839,0.24898,0.571556,0.191199,0.256754,42.718921
plot+table,off,on,off,0.068514,0.269325,0.580402,0.198564,0.226131,39.535359
plot,off,off,on,0.061008,0.285611,0.618792,0.220515,0.270454,32.625133
plot,off,off,on,0.064975,0.281233,0.62278,0.218691,0.271264,40.98169
plot,off,off,on,0.078073,0.275212,0.594595,0.216683,0.243435,39.163416
table,off,off,on,0.041812,0.271049,0.513539,0.179016,0.22409,31.12504
table,off,off,on,0.056486,0.266151,0.548225,0.188566,0.243032,35.494521
table,off,off,on,0.051343,0.277469,0.542511,0.170756,0.207979,36.105712
plot+table,off,off,on,0.049199,0.273569,0.592328,0.203105,0.261909,33.208008
plot+table,off,off,on,0.064321,0.287178,0.594466,0.204033,0.254545,40.903277
plot+table,off,off,on,0.077996,0.282226,0.601823,0.206512,0.243258,40.611149
plot,on,off,on,0.058578,0.274743,0.63354,0.200339,0.279691,40.703451
plot,on,off,on,0.067982,0.28205,0.634029,0.219635,0.281888,43.841857
plot,on,off,on,0.063831,0.270146,0.628549,0.220118,0.265379,42.04415
table,on,off,on,0.034034,0.266436,0.520684,0.145302,0.220529,34.142469
table,on,off,on,0.054269,0.249928,0.549465,0.180377,0.245824,41.875106
table,on,off,on,0.057648,0.261931,0.540314,0.169693,0.212565,32.973247
plot+table,on,off,on,0.053888,0.288133,0.586456,0.176836,0.247689,31.91134
plot+table,on,off,on,0.060523,0.258239,0.577187,0.194766,0.251286,45.359594
plot+table,on,off,on,0.059283,0.269218,0.593236,0.201852,0.235783,40.446642
plot,on,on,off,0.066409,0.262523,0.600539,0.199615,0.280431,35.333753
plot,on,on,off,0.068245,0.260902,0.622428,0.226232,0.271445,46.560049
plot,on,on,off,0.07127,0.26809,0.601084,0.210082,0.252158,37.941847
table,on,on,off,0.029998,0.266251,0.484405,0.136438,0.201164,33.760232
table,on,on,off,0.044508,0.247675,0.534666,0.165647,0.224715,38.767811
table,on,on,off,0.055911,0.259268,0.53615,0.160685,0.205791,35.924676
plot+table,on,on,off,0.040044,0.261955,0.539269,0.16424,0.241029,39.164193
plot+table,on,on,off,0.043225,0.244166,0.576896,0.190081,0.258704,48.511264
plot+table,on,on,off,0.059452,0.250701,0.563192,0.17838,0.231386,40.080976
plot,off,on,on,0.04743,0.286122,0.597838,0.211968,0.264505,28.283078
plot,off,on,on,0.060587,0.290401,0.606492,0.211089,0.265637,37.648291
plot,off,on,on,0.067983,0.275209,0.570432,0.204299,0.229568,31.596986
table,off,on,on,0.03441,0.27332,0.500676,0.168946,0.221488,28.900228
table,off,on,on,0.05088,0.268038,0.546044,0.175472,0.23184,33.004352
table,off,on,on,0.057887,0.272461,0.517142,0.167308,0.202179,35.667019
plot+table,off,on,on,0.056497,0.287144,0.5765,0.20531,0.250888,26.311191
plot+table,off,on,on,0.064156,0.281344,0.571199,0.19703,0.248295,33.174108
plot+table,off,on,on,0.065866,0.281813,0.575404,0.187285,0.225696,33.695728
plot,on,on,on,0.055295,0.297233,0.619397,0.197783,0.272712,32.374294
plot,on,on,on,0.05888,0.262615,0.586342,0.191906,0.260113,41.200281
plot,on,on,on,0.067196,0.2712,0.577803,0.197844,0.229911,34.816535
table,on,on,on,0.025603,0.267254,0.489492,0.136058,0.213368,30.33285
table,on,on,on,0.037106,0.268291,0.543258,0.166862,0.23032,34.355447
table,on,on,on,0.048846,0.260424,0.5121,0.160826,0.199018,29.569613
plot+table,on,on,on,0.048188,0.282127,0.578712,0.169564,0.245986,29.960734
plot+table,on,on,on,0.057649,0.275531,0.574784,0.190025,0.247631,37.140326
plot+table,on,on,on,0.055906,0.269035,0.562654,0.181144,0.232616,38.1645
