Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,table,off,off,on,0.032185,0.179132,0.454115,0.147867,0.210028,38.370732
t5,table,off,off,on,0.013542,0.118001,0.322733,0.139315,0.171967,37.212692
bart,plot+table,off,off,on,0.032416,0.254307,0.457429,0.100503,0.190317,33.556342
bert,plot+table,off,off,on,0.022667,0.255956,0.473088,0.113636,0.192635,37.868973
longformer_ext,plot+table,off,off,on,0.022137,0.309325,0.400404,0.085106,0.167846,28.636
t5,plot+table,off,off,on,0.034589,0.225541,0.414035,0.109155,0.182456,27.845942
bart,plot+table,off,off,on,0.052172,0.24266,0.487961,0.122383,0.211878,25.188886
bert,plot+table,off,off,on,0.020222,0.255011,0.400344,0.101549,0.171821,25.311579
longformer_ext,plot+table,off,off,on,0.048769,0.245836,0.511278,0.138191,0.230576,17.575382
t5,plot+table,off,off,on,0.016283,0.195831,0.450886,0.109855,0.21256,42.457047
bart,plot+table,off,off,on,0.040341,0.175131,0.430435,0.174292,0.221739,44.782806
bert,plot+table,off,off,on,0.063676,0.312544,0.557923,0.182667,0.235686,29.172898
longformer_ext,plot+table,off,off,on,0.024022,0.217305,0.492593,0.142857,0.2,38.038587
t5,plot+table,off,off,on,0.007874,0.112041,0.297872,0.092417,0.153664,35.366595
bart,plot,on,off,on,0.026463,0.228614,0.428571,0.103333,0.192691,15.779872
bert,plot,on,off,on,0.020468,0.248478,0.442529,0.092219,0.181034,36.352806
longformer_ext,plot,on,off,on,0.020759,0.177937,0.322397,0.057225,0.108417,36.694255
t5,plot,on,off,on,0.034254,0.248197,0.463122,0.11704,0.198971,35.573575
bart,plot,on,off,on,0.031261,0.22044,0.493192,0.127466,0.202723,29.270298
bert,plot,on,off,on,0.02174,0.271494,0.44505,0.143767,0.194369,23.918549
longformer_ext,plot,on,off,on,0.032278,0.213141,0.423267,0.116625,0.20297,25.693326
t5,plot,on,off,on,0.008079,0.145612,0.336918,0.07554,0.18638,38.626161
bart,plot,on,off,on,0.050502,0.175203,0.431499,0.194595,0.239482,46.200635
bert,plot,on,off,on,0.053341,0.336516,0.589726,0.183033,0.225484,28.61462
longformer_ext,plot,on,off,on,0.086301,0.219539,0.51756,0.205556,0.229205,36.942309
t5,plot,on,off,on,0.040967,0.182435,0.429646,0.1507,0.210526,35.537922
bart,table,on,off,on,0.018782,0.254546,0.450581,0.090379,0.200581,28.723095
bert,table,on,off,on,0.009394,0.247798,0.434899,0.086137,0.171812,27.109279
longformer_ext,table,on,off,on,0.006153,0.177143,0.271259,0.036677,0.114101,35.894306
t5,table,on,off,on,0.026799,0.211563,0.420881,0.085106,0.179445,30.725882
bart,table,on,off,on,0.027948,0.209769,0.479495,0.126582,0.214511,29.604609
bert,table,on,off,on,0.024744,0.283161,0.397329,0.125418,0.190317,21.351667
longformer_ext,table,on,off,on,0.033538,0.183033,0.452774,0.144361,0.2009,44.477479
t5,table,on,off,on,0.023231,0.154274,0.357782,0.111311,0.203936,40.028864
bart,table,on,off,on,0.063676,0.188577,0.447451,0.193952,0.231009,40.611104
bert,table,on,off,on,0.043412,0.298732,0.501548,0.147551,0.190712,20.524464
longformer_ext,table,on,off,on,0.105827,0.269295,0.531783,0.195652,0.254264,31.195367
t5,table,on,off,on,0.025572,0.168459,0.411765,0.157205,0.206972,43.805893
bart,plot+table,on,off,on,0.04416,0.249694,0.443038,0.11746,0.186709,26.335956
bert,plot+table,on,off,on,0.021988,0.247966,0.435021,0.087791,0.175103,27.087216
longformer_ext,plot+table,on,off,on,0.026877,0.196514,0.338308,0.064838,0.126866,29.363982
t5,plot+table,on,off,on,0.033375,0.245294,0.457912,0.114865,0.178451,24.977085
bart,plot+table,on,off,on,0.027263,0.212054,0.486903,0.120556,0.215716,34.941882
bert,plot+table,on,off,on,0.023437,0.295107,0.434783,0.134301,0.192029,27.05116
longformer_ext,plot+table,on,off,on,0.031835,0.23188,0.449328,0.122399,0.21978,27.937023
