Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,plot+table,off,off,on,0.006349,0.209637,0.355913,0.025316,0.110218,23.333593
longformer_ext,plot+table,off,off,on,0.016243,0.173559,0.374901,0.060461,0.150913,23.333593
longformer_ext,plot+table,off,off,on,0.018395,0.201737,0.431776,0.074906,0.127103,23.333593
bart,plot,on,off,on,0.020038,0.230488,0.428571,0.075676,0.172507,20.086538
bart,plot,on,off,on,0.028036,0.168298,0.415929,0.10461,0.184071,20.086538
bart,plot,on,off,on,0.042701,0.210303,0.484591,0.095847,0.204038,20.086538
bert,plot,on,off,on,0.010583,0.273315,0.308764,0.067403,0.123041,0.829567
bert,plot,on,off,on,0.015581,0.287508,0.445287,0.09578,0.170535,0.829567
bert,plot,on,off,on,0.010546,0.291672,0.390219,0.092708,0.148803,0.829567
t5,plot,on,off,on,0.012585,0.196923,0.399408,0.053412,0.156805,22.758333
t5,plot,on,off,on,0.009352,0.130266,0.317669,0.05838,0.139098,22.758333
t5,plot,on,off,on,0.006045,0.168967,0.395429,0.032073,0.139429,22.758333
longformer_ext,plot,on,off,on,0.015776,0.237925,0.325628,0.058409,0.140704,8.904442
longformer_ext,plot,on,off,on,0.017958,0.180984,0.402025,0.081101,0.173536,8.904442
longformer_ext,plot,on,off,on,0.027945,0.203418,0.380235,0.062081,0.145729,8.904442
bart,table,on,off,on,0.012798,0.268994,0.443128,0.078385,0.170616,24.672147
bart,table,on,off,on,0.020324,0.188772,0.423701,0.079675,0.191558,24.672147
bart,table,on,off,on,0.042803,0.225401,0.439118,0.082613,0.166826,24.672147
bert,table,on,off,on,0.005541,0.244344,0.238051,0.049678,0.096507,0.871063
bert,table,on,off,on,0.009567,0.272113,0.373635,0.069477,0.141966,0.871063
bert,table,on,off,on,0.007461,0.260837,0.319158,0.070796,0.118737,0.871063
t5,table,on,off,on,0.008615,0.22333,0.434555,0.034121,0.138743,29.318533
t5,table,on,off,on,0.010376,0.135406,0.354167,0.050435,0.149306,29.318533
t5,table,on,off,on,0.018122,0.185023,0.43406,0.058273,0.149533,29.318533
longformer_ext,table,on,off,on,0.008922,0.269294,0.357914,0.055856,0.142086,19.158184
longformer_ext,table,on,off,on,0.017619,0.234313,0.444,0.078772,0.185333,19.158184
longformer_ext,table,on,off,on,0.024721,0.223058,0.393593,0.05806,0.143402,19.158184
bart,plot+table,on,off,on,0.024564,0.244663,0.411917,0.083117,0.160622,17.486153
bart,plot+table,on,off,on,0.029796,0.164051,0.384483,0.096718,0.177586,17.486153
bart,plot+table,on,off,on,0.035689,0.207772,0.436663,0.070175,0.164779,17.486153
bert,plot+table,on,off,on,0.004577,0.245109,0.261516,0.043629,0.099059,3.116649
bert,plot+table,on,off,on,0.016197,0.281875,0.398837,0.079834,0.153718,3.116649
bert,plot+table,on,off,on,0.009694,0.268876,0.339946,0.069495,0.124436,3.116649
t5,plot+table,on,off,on,0.010304,0.195241,0.40625,0.042735,0.15625,19.738686
