Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
longformer_ext,plot,off,on,off,0.006438,0.165471,0.336898,0.021448,0.109626,2.821548
bart,table,off,on,off,0.012233,0.227537,0.374849,0.060606,0.140266,4.010005
bert,table,off,on,off,0.005567,0.246805,0.230769,0.032421,0.09413,-4.453612
t5,table,off,on,off,0.020692,0.239033,0.410397,0.082305,0.161423,15.815476
longformer_ext,table,off,on,off,0.006321,0.16496,0.266667,0.017995,0.112821,4.639673
bart,plot+table,off,on,off,0.011966,0.239172,0.390419,0.062425,0.150898,5.768371
bert,plot+table,off,on,off,0.00906,0.270044,0.246925,0.044508,0.089877,1.044223
t5,plot+table,off,on,off,0.016847,0.244946,0.411765,0.079487,0.158568,18.45
longformer_ext,plot+table,off,on,off,0.016186,0.217016,0.366133,0.038991,0.135011,16.720545
bart,plot,off,off,on,0.02504,0.255352,0.454277,0.100592,0.185841,24.337649
bert,plot,off,off,on,0.010054,0.285994,0.3222,0.055082,0.10609,5.04527
t5,plot,off,off,on,0.032482,0.260295,0.464286,0.116418,0.196429,13.150861
longformer_ext,plot,off,off,on,0.009075,0.154176,0.301948,0.042345,0.126623,13.676957
bart,table,off,off,on,0.014869,0.234618,0.401048,0.081472,0.165138,13.729949
bert,table,off,off,on,0.00362,0.249815,0.262707,0.037736,0.100514,-4.530079
t5,table,off,off,on,0.021185,0.227021,0.414388,0.083694,0.164029,11.837134
longformer_ext,table,off,off,on,0.006169,0.20979,0.328358,0.027778,0.119403,7.892471
bart,plot+table,off,off,on,0.018916,0.245495,0.426367,0.075949,0.173913,18.263237
bert,plot+table,off,off,on,0.00799,0.271056,0.294801,0.051439,0.100306,0.741568
t5,plot+table,off,off,on,0.018081,0.238542,0.433511,0.096,0.175532,10.20086
longformer_ext,plot+table,off,off,on,0.008715,0.19877,0.339241,0.038071,0.118987,24.787184
bart,plot,on,off,on,0.017698,0.239839,0.444142,0.076503,0.171662,17.826329
bert,plot,on,off,on,0.015464,0.267467,0.304272,0.067955,0.117028,4.298704
t5,plot,on,off,on,0.039857,0.217216,0.439372,0.065808,0.156919,22.42721
longformer_ext,plot,on,off,on,0.007222,0.22203,0.353846,0.039648,0.131868,8.179657
bart,table,on,off,on,0.013184,0.238043,0.378517,0.053846,0.148338,21.802939
bert,table,on,off,on,0.003568,0.235998,0.270903,0.041295,0.103679,4.506648
t5,table,on,off,on,0.006692,0.157517,0.364501,0.022258,0.136292,23.342501
longformer_ext,table,on,off,on,0.007377,0.226617,0.392419,0.046927,0.147157,9.196908
bart,plot+table,on,off,on,0.015724,0.244378,0.421308,0.070388,0.159806,15.618061
bert,plot+table,on,off,on,0.006478,0.24467,0.245805,0.0463,0.092517,-2.267277
t5,plot+table,on,off,on,0.009353,0.22568,0.418367,0.043478,0.145408,35.794554
longformer_ext,plot+table,on,off,on,0.014155,0.21914,0.360656,0.049296,0.135831,1.518085
bart,plot,on,on,off,0.013193,0.252745,0.415094,0.068558,0.148585,7.691909
bert,plot,on,on,off,0.006243,0.243392,0.227794,0.044236,0.090948,-7.377873
t5,plot,on,on,off,0.008448,0.216055,0.418726,0.031291,0.143043,14.774616
longformer_ext,plot,on,on,off,0.008426,0.163129,0.297082,0.029255,0.124668,-26.747244
bart,table,on,on,off,0.007595,0.211247,0.370198,0.03734,0.139697,-0.924929
bert,table,on,on,off,0.005037,0.227885,0.216989,0.037879,0.087468,-9.240256
t5,table,on,on,off,0.007614,0.208899,0.375804,0.030968,0.126126,7.141825
longformer_ext,table,on,on,off,0.012981,0.246529,0.336694,0.054545,0.131048,13.787865
bart,plot+table,on,on,off,0.013803,0.23314,0.371661,0.058207,0.130081,10.972143
bert,plot+table,on,on,off,0.006934,0.255552,0.251434,0.051675,0.09369,4.739038
t5,plot+table,on,on,off,0.012562,0.214519,0.415144,0.044503,0.138381,19.58351
longformer_ext,plot+table,on,on,off,0.007716,0.219241,0.30036,0.032432,0.118705,7.434433
bart,plot,off,on,on,0.012783,0.233699,0.389027,0.065,0.144638,16.790582
bert,plot,off,on,on,0.01195,0.273982,0.264421,0.059274,0.09903,-1.634583
t5,plot,off,on,on,0.018305,0.273616,0.449655,0.082988,0.171034,8.825374
longformer_ext,plot,off,on,on,0.011051,0.167153,0.268499,0.014831,0.099366,15.795793
bart,table,off,on,on,0.013761,0.245927,0.41169,0.06879,0.162643,11.295791
bert,table,off,on,on,0.003251,0.247404,0.244456,0.038203,0.093863,-1.780746
t5,table,off,on,on,0.018617,0.260001,0.443272,0.089947,0.174142,10.427059
longformer_ext,table,off,on,on,0.005321,0.126208,0.275,0.009404,0.125,11.131658
bart,plot+table,off,on,on,0.008659,0.214869,0.342529,0.062212,0.144828,5.343024
bert,plot+table,off,on,on,0.00611,0.264802,0.238361,0.045666,0.085661,-1.558545
t5,plot+table,off,on,on,0.016791,0.235565,0.388398,0.088496,0.171501,16.975611
longformer_ext,plot+table,off,on,on,0.005137,0.225871,0.290294,0.028546,0.096171,14.343135
bart,plot,on,on,on,0.017542,0.248529,0.467879,0.089915,0.16,26.983934
bert,plot,on,on,on,0.009559,0.270485,0.257823,0.058906,0.101822,0.876151
t5,plot,on,on,on,0.009753,0.219897,0.43061,0.052016,0.145266,24.596299
longformer_ext,plot,on,on,on,0.005151,0.202336,0.240484,0.032929,0.115917,-3.751843
bart,table,on,on,on,0.014298,0.25005,0.390995,0.054632,0.149289,15.797862
bert,table,on,on,on,0.003977,0.258036,0.231664,0.045658,0.091234,-7.536567
t5,table,on,on,on,0.008035,0.212352,0.39201,0.032541,0.124844,13.198182
longformer_ext,table,on,on,on,0.007084,0.207762,0.318777,0.039387,0.128821,6.528153
bart,plot+table,on,on,on,0.014761,0.240485,0.406103,0.063529,0.150235,13.316905
bert,plot+table,on,on,on,0.004649,0.24902,0.232743,0.042516,0.09646,-5.206976
t5,plot+table,on,on,on,0.00844,0.221668,0.418663,0.042984,0.148802,19.953191
longformer_ext,plot+table,on,on,on,0.011918,0.234154,0.336946,0.04541,0.128079,15.338833
bart,plot,off,off,off,0.035793,0.215335,0.421525,0.095952,0.176383,17.271563
bert,plot,off,off,off,0.005752,0.272471,0.323116,0.054987,0.120051,6.15776
t5,plot,off,off,off,0.022787,0.221505,0.441516,0.105785,0.16804,21.620948
longformer_ext,plot,off,off,off,0.009795,0.153754,0.263014,0.027473,0.112329,4.369151
bart,table,off,off,off,0.018169,0.237827,0.432292,0.088773,0.171875,10.001293
bert,table,off,off,off,0.005068,0.257486,0.270787,0.046119,0.102247,2.70425
t5,table,off,off,off,0.022957,0.218707,0.4041,0.082232,0.166911,6.310852
longformer_ext,table,off,off,off,0.005459,0.171728,0.286611,0.018868,0.110879,-0.829131
bart,plot+table,off,off,off,0.017426,0.251971,0.401042,0.08094,0.174479,8.900106
bert,plot+table,off,off,off,0.009912,0.273085,0.272532,0.06015,0.104077,4.070064
t5,plot+table,off,off,off,0.02491,0.287008,0.465116,0.096022,0.175103,17.208971
longformer_ext,plot+table,off,off,off,0.009488,0.207847,0.317073,0.037778,0.119734,28.841213
bart,plot,on,off,off,0.015748,0.253734,0.453665,0.07767,0.163209,6.547705
bert,plot,on,off,off,0.005904,0.272389,0.297267,0.039909,0.105923,2.054921
t5,plot,on,off,off,0.008701,0.19137,0.398744,0.025197,0.128728,16.774911
longformer_ext,plot,on,off,off,0.006882,0.236296,0.378556,0.041667,0.159737,-11.779
bart,table,on,off,off,0.013149,0.231838,0.425,0.062657,0.1525,8.231501
bert,table,on,off,off,0.003227,0.236536,0.243437,0.043956,0.095465,1.221993
t5,table,on,off,off,0.008859,0.210259,0.393977,0.037736,0.130489,19.550374
longformer_ext,table,on,off,off,0.014304,0.221572,0.334034,0.048421,0.140756,-23.228942
bart,plot+table,on,off,off,0.011346,0.24315,0.432113,0.054438,0.155844,15.670086
bert,plot+table,on,off,off,0.004245,0.239582,0.24761,0.052632,0.099426,4.822048
t5,plot+table,on,off,off,0.008513,0.180264,0.36635,0.029932,0.138399,20.117107
longformer_ext,plot+table,on,off,off,0.00689,0.218652,0.342213,0.045175,0.141393,14.649562
bart,plot,off,on,off,0.017336,0.263576,0.42225,0.08365,0.14665,12.08181
bert,plot,off,on,off,0.005997,0.256697,0.257416,0.044288,0.093514,-4.609228
t5,plot,off,on,off,0.017741,0.220115,0.387978,0.071233,0.15847,7.123843
longformer_ext,plot,off,on,off,0.005412,0.133627,0.20438,0.014634,0.085158,-14.058409
bart,table,off,on,off,0.011021,0.232098,0.366552,0.06659,0.148912,2.060953
bert,table,off,on,off,0.005956,0.251098,0.220994,0.034101,0.087477,-4.280819
t5,table,off,on,off,0.015167,0.24874,0.398618,0.071594,0.156682,14.832439
longformer_ext,table,off,on,off,0.006343,0.241515,0.341262,0.02487,0.126163,-4.19339
bart,plot+table,off,on,off,0.030295,0.242213,0.408117,0.081356,0.155581,17.073942
bert,plot+table,off,on,off,0.009583,0.251353,0.236912,0.049734,0.09228,0.601115
t5,plot+table,off,on,off,0.014837,0.249117,0.388489,0.064904,0.148681,13.974056
longformer_ext,plot+table,off,on,off,0.005762,0.182077,0.308806,0.031439,0.103739,23.11457
bart,plot,off,off,on,0.023628,0.262993,0.450581,0.102041,0.19186,27.669248
bert,plot,off,off,on,0.008104,0.265994,0.30394,0.057608,0.101313,0.31587
t5,plot,off,off,on,0.023476,0.232656,0.435171,0.092676,0.178838,16.46303
longformer_ext,plot,off,off,on,0.005325,0.11757,0.262745,0.031496,0.101961,10.943161
bart,table,off,off,on,0.013801,0.233318,0.385827,0.055263,0.165354,19.476904
bert,table,off,off,on,0.005407,0.245369,0.255801,0.038527,0.096208,-3.154832
t5,table,off,off,on,0.021076,0.249344,0.444444,0.082857,0.168091,19.069819
longformer_ext,table,off,off,on,0.012075,0.141243,0.289474,0.029703,0.118421,-3.815
bart,plot+table,off,off,on,0.01472,0.215606,0.392102,0.062235,0.169252,5.208142
