mean [incum-quantity] of turtles,mean [incum-quantity] of turtles.1,mean [incum-quantity] of turtles.2,mean [incum-quantity] of turtles.3,mean [incum-quantity] of turtles.4,mean [incum-quantity] of turtles.5,mean [incum-quantity] of turtles.6,mean [incum-quantity] of turtles.7,mean [incum-quantity] of turtles.8,mean [incum-quantity] of turtles.9,mean [incum-quantity] of turtles.10,mean [incum-quantity] of turtles.11,mean [incum-quantity] of turtles.12,mean [incum-quantity] of turtles.13,mean [incum-quantity] of turtles.14,mean [incum-quantity] of turtles.15,mean [incum-quantity] of turtles.16,mean [incum-quantity] of turtles.17,mean [incum-quantity] of turtles.18,mean [incum-quantity] of turtles.19,mean [incum-quantity] of turtles.20,mean [incum-quantity] of turtles.21,mean [incum-quantity] of turtles.22,mean [incum-quantity] of turtles.23,mean [incum-quantity] of turtles.24,mean [incum-quantity] of turtles.25,mean [incum-quantity] of turtles.26,mean [incum-quantity] of turtles.27,mean [incum-quantity] of turtles.28,mean [incum-quantity] of turtles.29
847.4188429053872,834.0874394050679,836.6796592633549,836.3043002622974,842.5304897438899,834.0978589447552,839.4257358968016,835.2640775020083,844.9672898606013,840.6631052638472,829.4651661637461,834.8477189143567,840.580654783258,837.2998622035346,841.3661755225178,843.7068495554696,838.8879825007123,841.1060515064961,841.577560114749,836.8302384927198,847.2192154080682,828.7196352238176,839.8629040969525,845.14908381754,830.239056515548,835.9740098644133,840.0814566234658,838.1154113692969,839.3482427062173,839.3321172186987
827.2426422125368,811.7819086051153,815.0090695336165,814.681830362256,820.2596756710651,813.0548925236014,817.2433217838694,814.1134924164796,823.991659286873,820.0828459205393,807.9801734344347,813.4230541147733,819.0260298675182,816.0485624381631,820.1995222927783,822.0374474341896,815.1200838899633,819.7245847467301,819.3020682559987,813.8311543664583,827.316190214414,805.8016600769436,816.9244195949575,823.9519469162691,807.2763360229566,813.3442754013859,817.5141630267403,814.7262182021652,817.1318795471637,817.502461773532
800.8004016029018,782.5528319258775,787.3321297748124,787.5496161825657,792.5450599000936,784.6845900187219,788.216912377413,786.2663057031278,798.6607470981924,792.0348516766664,781.5714358690026,785.4620866645106,791.4043439092575,789.1890136340783,792.796807957716,795.0166571301716,788.6976031273665,791.4453484088397,791.2819303068653,788.5209187327729,799.0681470744103,779.2970792699095,788.663671083795,797.1081152021078,778.4901229716266,784.8812967855444,789.6195600061967,788.7267483890674,790.0768532831764,786.932635545553
775.3293088925221,755.0852887511996,758.8096758808464,756.4677891739742,761.7837816406513,757.9264074762551,759.5028816956549,757.9667242711027,768.3285449098122,763.7061618286034,751.863865761798,757.8433154770944,760.7056957066665,759.7886080939076,761.9945986226536,766.9489459259455,757.0000350599305,762.4916574846441,760.777865145853,758.480656834209,771.1459558202243,749.8499964525345,757.3975787218641,768.5544811415391,748.164246573516,755.9218041672427,761.7082999852374,756.6169879712197,759.6339514166992,758.3143823211756
787.9005252371412,769.6801452829789,772.0512764308729,770.9210320359718,775.3613674367936,770.8525895637296,773.6225584270571,771.148742996283,784.9593879724224,777.0591803594825,765.9030404216315,770.5134804388204,775.2083204175997,774.2145259314965,777.2906566064438,779.5997678033416,770.9517101798389,776.0314713677953,775.3029058165018,772.771319296508,783.439056183595,764.2409047855012,771.9701734056055,781.0962493234703,761.785248693294,770.9265769667925,774.1621403642878,772.7211282634702,775.4435564050693,771.5877896604136
769.3402555177906,750.050570116129,753.4151107301631,749.5346698081369,757.2182444191639,752.5589421472619,754.3891059178501,752.7688748747635,765.1846418647808,760.9116331031272,746.531228168352,750.0957409684449,754.9218747216518,754.7107796663222,759.2444862168311,761.6448308634724,751.0418773666827,758.8001243128748,756.5644439531713,754.1843967516375,763.9600193368444,745.2359087788346,750.8707494993124,758.414738392894,739.6049363954806,748.1107346234701,756.574647215726,751.8899317399706,753.9529822480176,754.7245511641936
764.8150327170687,747.7537587240115,750.0187818966946,748.0375166846363,752.4595308170624,749.521107858259,750.2199824682627,749.2413149566112,761.5029479213747,756.2959103300535,742.9706801229562,747.2775337423438,750.5665928371407,751.9956464432711,754.7521063599542,759.2079551339198,748.7713285399517,754.8274678243391,753.1557898363073,750.076687259208,760.1850370826194,742.554832333964,748.9683845629964,757.5963634063697,738.4308920227422,746.9262321699855,751.8130095642538,749.3782949854126,749.6994508604787,750.5627893969635
749.5529606038191,730.0219699529454,732.1835958909791,728.7000887019311,736.8978180470249,728.5756143119675,732.9557526943022,734.7997769446525,745.0275782826803,741.7002646701148,725.510509094365,729.5951311541954,733.8008512139563,736.4875483290474,739.7388169083653,741.6503187520663,731.3872245390353,738.9236840018849,737.0896815573478,733.5835906158054,744.7607431537939,728.0957347279498,733.1116855835272,741.6885045618689,721.0071863247318,727.8893171621371,735.2423759173984,731.4576753211394,730.4012266692389,734.7254815759991
715.1498712984024,691.0797555130227,697.1270104266539,692.1817838814346,703.9909323321749,691.0472140807587,701.4502821157324,697.4574591528863,710.7172407513794,707.3357704598878,691.7757335956118,692.8306083595103,698.5418171467977,703.4274983741365,706.6569605731783,713.177717239829,694.0341387638454,704.3857484527886,707.5021023459848,701.2432370653644,708.1595994812894,692.2786240286379,701.7864618016548,708.507400513546,684.3126376698307,692.273098912608,704.0355600616335,695.9823814388093,694.3854706612877,701.664483672586
706.2843854548815,683.0252131281329,685.9589811113796,681.7814584433502,692.2014834160367,685.3798761958022,697.5352960979137,690.9053423514773,702.6546588270343,701.2412486209929,686.4579351636982,684.446554102967,690.4338258477538,695.945169825095,698.6632147426947,705.0559112165964,688.7671664428055,695.0474946099166,697.7228784733467,688.3948639194979,699.2105922044851,687.4265045243169,696.4384139275221,697.4802926693372,671.3761206306169,686.3292857513604,696.1886088637052,686.2222699849722,691.6711635524124,690.9552553896928
670.5629812321038,640.5827607521544,647.4430075718286,645.3370403881323,654.5898069019033,645.1210561205695,657.6668654362693,650.89174269685,668.0379969536478,664.0504882130884,646.6234049208374,649.3131098991603,650.4317873956205,654.1954627948747,662.0627973486141,677.3628999219752,651.1226121943674,655.9613602132163,662.0718916713674,652.1393548282691,662.7677492970852,638.3956214737354,655.3174493165826,667.7414776327859,632.3157735823431,650.7359298010837,653.8591570606128,653.2167760772021,654.7656249004056,649.9582288405221
615.7628262916393,583.7188023707367,587.5922811548375,583.7268085324216,599.5895960611871,583.5807509478423,597.861094985482,587.2518987567389,607.7109461021269,597.8967201681883,587.4196687169808,583.3027940393932,587.0408233024348,588.7069133519135,598.4313001339984,625.8934084880732,595.5922001026177,603.0389460711622,595.960625597369,588.4798552472988,607.065532997473,577.2698456026967,598.6313188743111,615.0871814239874,564.6525513939881,586.4876318524387,595.323448410086,593.9160894803445,598.8352511910954,594.5653837208591
642.8120439193601,609.6043663403219,614.3387677759204,617.8567920417468,624.5891629753202,611.2459097554325,623.6150022066483,608.8017072691817,635.528451589186,622.7737190794709,613.8651109032853,611.6177052675822,611.9039402139218,620.4339980113617,620.1429017873252,651.9051020498703,621.8176934175054,628.0795519168316,626.8192462650253,620.4017257261798,628.4736993550482,609.1455490436267,621.1075713495682,633.5381490940276,600.7194235963593,613.2410871856445,621.3806566326007,622.3641775466797,623.7689931440905,617.3853261863335
