Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,table,off,on,off,0.042263,0.262208,0.49737,0.171583,0.224135,31.732938
bart,table,off,on,off,0.022239,0.199735,0.4,0.085526,0.167213,22.203114
bart,table,off,on,off,0.025813,0.147575,0.365884,0.079306,0.140915,22.203114
bart,table,off,on,off,2e-05,0.040853,0.123416,0.030708,0.06471,22.203114
bert,table,off,on,off,0.008961,0.257603,0.317337,0.060465,0.117647,13.937084
bert,table,off,on,off,0.022637,0.236547,0.386318,0.09268,0.151576,13.937084
bert,table,off,on,off,0.015526,0.127302,0.333696,0.111474,0.161957,13.937084
t5,table,off,on,off,0.007737,0.154963,0.347015,0.059925,0.156716,31.381538
t5,table,off,on,off,0.014138,0.120513,0.307483,0.057299,0.144218,31.381538
t5,table,off,on,off,1e-06,0.027565,0.091655,0.01848,0.054036,31.381538
longformer_ext,table,off,on,off,0.007971,0.222817,0.305122,0.064732,0.146993,26.071629
longformer_ext,table,off,on,off,0.02861,0.167823,0.346399,0.052968,0.129444,26.071629
longformer_ext,table,off,on,off,0.000435,0.058319,0.181984,0.028624,0.07608,26.071629
none,plot+table,off,on,off,0.007411,0.239434,0.194862,0.052087,0.088088,32.952598
none,plot+table,off,on,off,0.012811,0.253421,0.25219,0.065122,0.113267,32.952598
none,plot+table,off,on,off,0.05584,0.26042,0.563788,0.195802,0.253668,32.952598
bart,plot+table,off,on,off,0.010077,0.200808,0.420863,0.083032,0.190647,28.54743
bart,plot+table,off,on,off,0.00747,0.14004,0.37351,0.063745,0.153642,28.54743
bart,plot+table,off,on,off,4e-06,0.036379,0.117527,0.03603,0.074728,28.54743
bert,plot+table,off,on,off,0.014913,0.264175,0.377033,0.080537,0.147368,19.940166
bert,plot+table,off,on,off,0.015177,0.250107,0.446945,0.088567,0.163987,19.940166
bert,plot+table,off,on,off,0.007632,0.102779,0.291873,0.105509,0.152636,19.940166
t5,plot+table,off,on,off,0.012881,0.194158,0.408163,0.074488,0.19295,30.600205
t5,plot+table,off,on,off,0.016302,0.132344,0.371274,0.078804,0.165312,30.600205
t5,plot+table,off,on,off,1e-06,0.033027,0.110694,0.041709,0.069696,30.600205
longformer_ext,plot+table,off,on,off,0.014612,0.230655,0.366158,0.058414,0.147018,21.397648
longformer_ext,plot+table,off,on,off,0.01142,0.177124,0.4,0.061002,0.13913,21.397648
longformer_ext,plot+table,off,on,off,0.000419,0.063684,0.188485,0.058577,0.091348,21.397648
none,plot,off,off,on,0.006991,0.233423,0.188312,0.053931,0.088961,29.527717
none,plot,off,off,on,0.013687,0.259078,0.251296,0.081172,0.120159,29.527717
none,plot,off,off,on,0.064646,0.284419,0.613021,0.232345,0.267374,29.527717
bart,plot,off,off,on,0.018524,0.222273,0.408163,0.102389,0.193878,25.560569
