Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot,on,off,on,0.058305,0.280063,0.541114,0.188391,0.223475,41.128317
table,on,off,on,0.038762,0.267918,0.488492,0.15571,0.228044,35.239586
table,on,off,on,0.048002,0.246094,0.51271,0.162754,0.244427,36.741695
table,on,off,on,0.053017,0.276009,0.495381,0.164761,0.208549,40.054626
plot+table,on,off,on,0.038905,0.270802,0.502052,0.163298,0.234607,33.643072
plot+table,on,off,on,0.052468,0.268261,0.514358,0.171635,0.240202,36.090316
plot+table,on,off,on,0.057504,0.287376,0.524401,0.180412,0.210973,40.636072
plot,on,on,off,0.039428,0.270142,0.519778,0.176069,0.243368,33.710141
plot,on,on,off,0.050395,0.268073,0.534905,0.183112,0.241812,36.697924
plot,on,on,off,0.05399,0.284624,0.530245,0.187641,0.222008,41.262238
table,on,on,off,0.029549,0.257177,0.435391,0.131175,0.20439,32.384486
table,on,on,off,0.046776,0.25228,0.493294,0.159523,0.230626,34.834995
table,on,on,off,0.049984,0.266743,0.473569,0.155852,0.197101,39.826385
plot+table,on,on,off,0.032071,0.268029,0.478665,0.15271,0.215857,31.879125
plot+table,on,on,off,0.046421,0.268917,0.501475,0.168721,0.232865,35.765674
plot+table,on,on,off,0.046937,0.273287,0.488954,0.170006,0.196171,37.761667
plot,off,on,on,0.043567,0.270206,0.522934,0.168185,0.24101,35.507628
plot,off,on,on,0.054201,0.289143,0.561789,0.197107,0.243301,32.37506
plot,off,on,on,0.060587,0.2738,0.544213,0.182519,0.218876,38.967381
table,off,on,on,0.031423,0.267473,0.462854,0.141615,0.214186,32.810594
table,off,on,on,0.060049,0.273184,0.526191,0.184694,0.24234,34.658106
table,off,on,on,0.053228,0.256848,0.492079,0.158797,0.201099,37.110763
plot+table,off,on,on,0.035072,0.271039,0.487956,0.158463,0.232599,30.463841
plot+table,off,on,on,0.052399,0.268565,0.519405,0.184663,0.232477,34.100679
plot+table,off,on,on,0.050931,0.274869,0.515821,0.176063,0.210283,36.533649
plot,on,on,on,0.042436,0.269858,0.516669,0.171013,0.236688,32.374764
plot,on,on,on,0.048297,0.262651,0.525586,0.181886,0.23955,32.15888
plot,on,on,on,0.05001,0.275477,0.505276,0.181123,0.215323,38.272174
table,on,on,on,0.034339,0.274057,0.461285,0.14555,0.213726,30.149652
table,on,on,on,0.047664,0.269432,0.506315,0.163706,0.236866,32.715401
table,on,on,on,0.050579,0.269789,0.462591,0.155795,0.193013,35.21646
plot+table,on,on,on,0.03296,0.273683,0.471666,0.158889,0.218088,30.647625
plot+table,on,on,on,0.047577,0.268489,0.499204,0.172359,0.231028,31.323916
plot+table,on,on,on,0.042348,0.282343,0.485877,0.168094,0.203709,36.004537
plot,off,off,off,0.046913,0.245116,0.549768,0.190617,0.263577,45.029232
plot,off,off,off,0.061581,0.267134,0.573686,0.215812,0.262708,42.018999
plot,off,off,off,0.062397,0.250314,0.585871,0.199746,0.254653,49.575216
table,off,off,off,0.03359,0.257333,0.449085,0.134192,0.211098,43.215782
table,off,off,off,0.049968,0.245725,0.512023,0.170469,0.239635,41.013667
table,off,off,off,0.06444,0.252316,0.505696,0.152206,0.217567,41.142916
plot+table,off,off,off,0.036524,0.257596,0.481224,0.150873,0.219441,40.310812
plot+table,off,off,off,0.053558,0.258571,0.5284,0.178872,0.2388,43.55525
plot+table,off,off,off,0.056551,0.26772,0.541113,0.177443,0.223698,47.907367
plot,on,off,off,0.046383,0.257827,0.549956,0.193172,0.262423,39.588871
plot,on,off,off,0.053941,0.261428,0.566832,0.200578,0.264851,41.588371
plot,on,off,off,0.063932,0.29406,0.586152,0.209035,0.246148,46.748686
table,on,off,off,0.034251,0.253904,0.455093,0.134392,0.213141,38.021319
table,on,off,off,0.041935,0.240757,0.486659,0.152632,0.223976,40.96028
table,on,off,off,0.052263,0.272908,0.504661,0.156046,0.207272,40.848225
plot+table,on,off,off,0.033133,0.263761,0.481335,0.145719,0.221548,38.774709
plot+table,on,off,off,0.047176,0.256489,0.518191,0.170614,0.240231,39.973651
plot+table,on,off,off,0.047346,0.277421,0.513509,0.172316,0.208688,42.590756
plot,off,on,off,0.044532,0.267905,0.531349,0.181636,0.250794,39.18757
plot,off,on,off,0.049556,0.280435,0.556227,0.202379,0.244787,34.071419
plot,off,on,off,0.065883,0.271635,0.578267,0.205625,0.24734,42.14417
table,off,on,off,0.03202,0.258033,0.453587,0.137083,0.208492,34.903069
