Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot+table,off,off,off,0.023266,0.140145,0.385356,0.104247,0.181118,38.502306
bert,plot+table,off,off,off,0.041863,0.181256,0.432526,0.116118,0.185121,32.354922
t5,plot+table,off,off,off,0.010627,0.120721,0.314286,0.075665,0.157143,25.597961
longformer_ext,plot+table,off,off,off,0.052526,0.237108,0.498158,0.121033,0.216654,31.77988
none,plot,on,off,off,0.032309,0.306826,0.325581,0.122639,0.149384,39.588871
bart,plot,on,off,off,0.008626,0.128443,0.326154,0.088386,0.164103,19.922622
bert,plot,on,off,off,0.033412,0.183477,0.427767,0.135338,0.196998,34.145675
t5,plot,on,off,off,0.006922,0.112443,0.301604,0.083601,0.147594,33.08458
longformer_ext,plot,on,off,off,0.003999,0.06798,0.219938,0.049434,0.12333,43.940962
none,table,on,off,off,0.011362,0.26373,0.246096,0.0804,0.116594,38.021319
bart,table,on,off,off,0.012377,0.134656,0.336842,0.088207,0.176077,22.109156
bert,table,on,off,off,0.016974,0.158649,0.373357,0.059701,0.170026,30.0341
t5,table,on,off,off,0.009279,0.133994,0.35035,0.082247,0.166166,36.40595
longformer_ext,table,on,off,off,0.020762,0.190379,0.409749,0.091533,0.176695,43.002785
none,plot+table,on,off,off,0.027141,0.278038,0.268845,0.101133,0.124183,38.774709
bart,plot+table,on,off,off,0.011289,0.13569,0.345227,0.092754,0.175506,17.589662
bert,plot+table,on,off,off,0.038516,0.198921,0.448155,0.105634,0.186292,32.012316
t5,plot+table,on,off,off,0.020812,0.138352,0.360591,0.094768,0.165517,27.273207
longformer_ext,plot+table,on,off,off,0.014064,0.15572,0.39611,0.086802,0.166225,33.805514
none,plot,off,on,off,0.032895,0.295038,0.306456,0.113094,0.13464,39.18757
bart,plot,off,on,off,0.02122,0.146372,0.379747,0.089756,0.169426,29.538771
bert,plot,off,on,off,0.031838,0.173781,0.428309,0.127072,0.185662,37.120844
t5,plot,off,on,off,0.00637,0.095811,0.27616,0.082162,0.157497,27.372147
longformer_ext,plot,off,on,off,0.035161,0.195972,0.444073,0.108696,0.195326,24.828667
none,table,off,on,off,0.016167,0.268736,0.251346,0.079536,0.111387,34.903069
bart,table,off,on,off,0.012143,0.132469,0.347409,0.076923,0.159309,28.288785
bert,table,off,on,off,0.025842,0.170945,0.416014,0.097646,0.184508,30.296809
t5,table,off,on,off,0.006136,0.121427,0.309717,0.06288,0.15587,31.325837
longformer_ext,table,off,on,off,0.025907,0.165962,0.410887,0.087951,0.184372,28.49
none,plot+table,off,on,off,0.025705,0.285357,0.277356,0.099643,0.123716,33.07697
bart,plot+table,off,on,off,0.019575,0.139925,0.35249,0.086372,0.168582,24.72473
bert,plot+table,off,on,off,0.034131,0.16573,0.407207,0.108303,0.18018,35.378125
t5,plot+table,off,on,off,0.012931,0.132606,0.322388,0.083749,0.157214,26.526712
longformer_ext,plot+table,off,on,off,0.03645,0.185158,0.418985,0.095082,0.188216,24.61762
none,plot,off,off,on,0.032856,0.309107,0.327938,0.121582,0.145397,38.640111
bart,plot,off,off,on,0.017267,0.146891,0.363636,0.110542,0.171604,38.500714
bert,plot,off,off,on,0.02733,0.164741,0.410256,0.11608,0.180437,42.296593
t5,plot,off,off,on,0.002844,0.08539,0.260486,0.05531,0.14128,27.675
longformer_ext,plot,off,off,on,0.029328,0.18087,0.415876,0.096802,0.184642,31.986272
none,table,off,off,on,0.017614,0.270279,0.257396,0.082523,0.115742,36.574143
bart,table,off,off,on,0.014979,0.155605,0.380403,0.098171,0.169068,36.844924
bert,table,off,off,on,0.02247,0.1735,0.411199,0.106924,0.190726,33.287946
t5,table,off,off,on,0.007175,0.107168,0.282183,0.074303,0.148301,25.890952
longformer_ext,table,off,off,on,0.030643,0.189532,0.43009,0.093366,0.189697,27.241344
none,plot+table,off,off,on,0.030376,0.291328,0.290848,0.106903,0.131289,36.826131
bart,plot+table,off,off,on,0.02381,0.143996,0.372454,0.108844,0.174588,30.062865
bert,plot+table,off,off,on,0.039699,0.182089,0.432133,0.13506,0.20868,31.153923
t5,plot+table,off,off,on,0.006182,0.112934,0.306057,0.078807,0.150903,27.931252
longformer_ext,plot+table,off,off,on,0.056475,0.241966,0.500726,0.107558,0.203193,23.221661
none,plot,on,off,on,0.029356,0.295565,0.301329,0.116749,0.136386,36.882635
bart,plot,on,off,on,0.020219,0.15556,0.380952,0.108779,0.167619,29.461629
bert,plot,on,off,on,0.032296,0.161755,0.418994,0.113806,0.18622,30.560435
t5,plot,on,off,on,0.006246,0.099497,0.286325,0.068522,0.136752,27.755471
longformer_ext,plot,on,off,on,0.041275,0.169858,0.388797,0.09571,0.159802,35.990026
none,table,on,off,on,0.013077,0.25903,0.236114,0.080064,0.111487,33.524559
bart,table,on,off,on,0.015799,0.171555,0.421889,0.104332,0.19241,21.033071
bert,table,on,off,on,0.022283,0.175089,0.423932,0.077055,0.179487,30.35426
t5,table,on,off,on,0.006901,0.126792,0.339476,0.054422,0.14549,29.31975
longformer_ext,table,on,off,on,0.024796,0.161216,0.37541,0.093596,0.170492,36.702447
none,plot+table,on,off,on,0.025933,0.287756,0.27953,0.103202,0.127562,34.066864
