Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bert,table,on,on,on,0.144966,0.144966,0.144966,0.072483,0.144966,0.0
t5,table,on,on,on,0.168421,0.168421,0.168421,0.084211,0.168421,0.0
longformer_ext,table,on,on,on,0.056338,0.056338,0.056338,0.028169,0.056338,5.6
none,plot+table,on,on,on,0.080433,0.080433,0.080433,0.040216,0.080433,0.0
bart,plot+table,on,on,on,0.150307,0.150307,0.150307,0.075153,0.150307,0.0
bert,plot+table,on,on,on,0.128,0.128,0.128,0.064,0.128,0.0
t5,plot+table,on,on,on,0.138514,0.138514,0.138514,0.069257,0.138514,0.0
longformer_ext,plot+table,on,on,on,0.097902,0.097902,0.097902,0.048951,0.097902,0.0
none,plot,off,off,off,0.102183,0.102183,0.102183,0.051092,0.102183,0.0
bart,plot,off,off,off,0.144737,0.144737,0.144737,0.072368,0.144737,0.0
bert,plot,off,off,off,0.14619,0.14619,0.14619,0.073095,0.14619,0.0
t5,plot,off,off,off,0.144928,0.144928,0.144928,0.072464,0.144928,0.0
longformer_ext,plot,off,off,off,0.092179,0.092179,0.092179,0.046089,0.092179,0.0
none,table,off,off,off,0.073291,0.073291,0.073291,0.036646,0.073291,0.0
bart,table,off,off,off,0.13522,0.13522,0.13522,0.06761,0.13522,0.0
bert,table,off,off,off,0.159892,0.159892,0.159892,0.079946,0.159892,0.0
t5,table,off,off,off,0.15,0.15,0.15,0.075,0.15,0.0
longformer_ext,table,off,off,off,0.120112,0.120112,0.120112,0.060056,0.120112,0.0
none,plot+table,off,off,off,0.079887,0.079887,0.079887,0.039943,0.079887,0.0
bart,plot+table,off,off,off,0.145401,0.145401,0.145401,0.0727,0.145401,0.0
bert,plot+table,off,off,off,0.153846,0.153846,0.153846,0.076923,0.153846,0.0
t5,plot+table,off,off,off,0.160684,0.160684,0.160684,0.080342,0.160684,0.0
longformer_ext,plot+table,off,off,off,0.067669,0.067669,0.067669,0.033835,0.067669,0.0
none,plot,on,off,off,0.069544,0.069544,0.069544,0.034772,0.069544,0.0
bart,plot,on,off,off,0.151724,0.151724,0.151724,0.075862,0.151724,0.0
bert,plot,on,off,off,0.132992,0.132992,0.132992,0.066496,0.132992,0.0
t5,plot,on,off,off,0.150307,0.150307,0.150307,0.075153,0.150307,0.0
longformer_ext,plot,on,off,off,0.07767,0.07767,0.07767,0.038835,0.07767,0.0
none,table,on,off,off,0.066288,0.066288,0.066288,0.033144,0.066288,0.0
bart,table,on,off,off,0.159057,0.159057,0.159057,0.079529,0.159057,0.0
bert,table,on,off,off,0.117048,0.117048,0.117048,0.058524,0.117048,0.0
t5,table,on,off,off,0.126456,0.126456,0.126456,0.063228,0.126456,0.0
longformer_ext,table,on,off,off,0.130909,0.130909,0.130909,0.065455,0.130909,0.0
none,plot+table,on,off,off,0.06809,0.06809,0.06809,0.034045,0.06809,0.0
bart,plot+table,on,off,off,0.136681,0.136681,0.136681,0.06834,0.136681,0.0
bert,plot+table,on,off,off,0.132584,0.132584,0.132584,0.066292,0.132584,0.0
t5,plot+table,on,off,off,0.146341,0.146341,0.146341,0.073171,0.146341,0.0
longformer_ext,plot+table,on,off,off,0.047267,0.047267,0.047267,0.023634,0.047267,0.0
none,plot,off,on,off,0.072838,0.072838,0.072838,0.036419,0.072838,0.0
bart,plot,off,on,off,0.14992,0.14992,0.14992,0.07496,0.14992,0.0
bert,plot,off,on,off,0.150273,0.150273,0.150273,0.075137,0.150273,0.0
t5,plot,off,on,off,0.157534,0.157534,0.157534,0.078767,0.157534,0.0
longformer_ext,plot,off,on,off,0.107351,0.107351,0.107351,0.053676,0.107351,0.0
none,table,off,on,off,0.074146,0.074146,0.074146,0.037073,0.074146,0.0
bart,table,off,on,off,0.139905,0.139905,0.139905,0.069952,0.139905,0.0
bert,table,off,on,off,0.136709,0.136709,0.136709,0.068354,0.136709,0.0
t5,table,off,on,off,0.138889,0.138889,0.138889,0.069444,0.138889,0.0
longformer_ext,table,off,on,off,0.125915,0.125915,0.125915,0.062958,0.125915,0.0
none,plot+table,off,on,off,0.087295,0.087295,0.087295,0.043648,0.087295,0.0
bart,plot+table,off,on,off,0.1489,0.1489,0.1489,0.07445,0.1489,0.0
bert,plot+table,off,on,off,0.15942,0.15942,0.15942,0.07971,0.15942,0.0
t5,plot+table,off,on,off,0.140351,0.140351,0.140351,0.070175,0.140351,0.0
longformer_ext,plot+table,off,on,off,0.150888,0.150888,0.150888,0.075444,0.150888,0.0
none,plot,off,off,on,0.091557,0.091557,0.091557,0.045779,0.091557,0.0
bart,plot,off,off,on,0.145763,0.145763,0.145763,0.072881,0.145763,0.0
bert,plot,off,off,on,0.113043,0.113043,0.113043,0.056522,0.113043,0.0
t5,plot,off,off,on,0.140171,0.140171,0.140171,0.070085,0.140171,0.0
longformer_ext,plot,off,off,on,0.127807,0.127807,0.127807,0.063903,0.127807,0.0
none,table,off,off,on,0.076951,0.076951,0.076951,0.038476,0.076951,0.0
bart,table,off,off,on,0.144054,0.144054,0.144054,0.072027,0.144054,0.0
bert,table,off,off,on,0.13253,0.13253,0.13253,0.066265,0.13253,0.0
t5,table,off,off,on,0.134251,0.134251,0.134251,0.067126,0.134251,0.0
longformer_ext,table,off,off,on,0.127168,0.127168,0.127168,0.063584,0.127168,0.0
none,plot+table,off,off,on,0.089818,0.089818,0.089818,0.044909,0.089818,0.0
bart,plot+table,off,off,on,0.18442,0.18442,0.18442,0.09221,0.18442,0.0
bert,plot+table,off,off,on,0.12,0.12,0.12,0.06,0.12,0.0
t5,plot+table,off,off,on,0.137405,0.137405,0.137405,0.068702,0.137405,0.0
longformer_ext,plot+table,off,off,on,0.13881,0.13881,0.13881,0.069405,0.13881,0.0
none,plot,on,off,on,0.074654,0.074654,0.074654,0.037327,0.074654,0.0
bart,plot,on,off,on,0.153631,0.153631,0.153631,0.076816,0.153631,0.0
bert,plot,on,off,on,0.113208,0.113208,0.113208,0.056604,0.113208,0.0
t5,plot,on,off,on,0.161832,0.161832,0.161832,0.080916,0.161832,0.0
longformer_ext,plot,on,off,on,0.129747,0.129747,0.129747,0.064873,0.129747,0.0
none,table,on,off,on,0.078229,0.078229,0.078229,0.039115,0.078229,0.0
bart,table,on,off,on,0.149477,0.149477,0.149477,0.074738,0.149477,0.0
bert,table,on,off,on,0.126174,0.126174,0.126174,0.063087,0.126174,0.0
t5,table,on,off,on,0.168142,0.168142,0.168142,0.084071,0.168142,0.0
longformer_ext,table,on,off,on,0.154386,0.154386,0.154386,0.077193,0.154386,0.0
none,plot+table,on,off,on,0.078564,0.078564,0.078564,0.039282,0.078564,0.0
bart,plot+table,on,off,on,0.134763,0.134763,0.134763,0.067381,0.134763,0.0
bert,plot+table,on,off,on,0.108504,0.108504,0.108504,0.054252,0.108504,0.0
t5,plot+table,on,off,on,0.152066,0.152066,0.152066,0.076033,0.152066,0.0
longformer_ext,plot+table,on,off,on,0.135593,0.135593,0.135593,0.067797,0.135593,0.0
none,plot,on,on,off,0.067318,0.067318,0.067318,0.033659,0.067318,0.0
bart,plot,on,on,off,0.154483,0.154483,0.154483,0.077241,0.154483,0.0
bert,plot,on,on,off,0.133333,0.133333,0.133333,0.066667,0.133333,0.0
t5,plot,on,on,off,0.146341,0.146341,0.146341,0.073171,0.146341,0.0
longformer_ext,plot,on,on,off,0.085578,0.085578,0.085578,0.042789,0.085578,0.0
none,table,on,on,off,0.074342,0.074342,0.074342,0.037171,0.074342,0.0
bart,table,on,on,off,0.120915,0.120915,0.120915,0.060458,0.120915,0.0
bert,table,on,on,off,0.129032,0.129032,0.129032,0.064516,0.129032,0.0
t5,table,on,on,off,0.14827,0.14827,0.14827,0.074135,0.14827,0.0
longformer_ext,table,on,on,off,0.121396,0.121396,0.121396,0.060698,0.121396,0.0
none,plot+table,on,on,off,0.066443,0.066443,0.066443,0.033222,0.066443,0.0
bart,plot+table,on,on,off,0.135057,0.135057,0.135057,0.067529,0.135057,0.0
bert,plot+table,on,on,off,0.128329,0.128329,0.128329,0.064165,0.128329,0.0
t5,plot+table,on,on,off,0.146667,0.146667,0.146667,0.073333,0.146667,0.0
longformer_ext,plot+table,on,on,off,0.120996,0.120996,0.120996,0.060498,0.120996,0.0
none,plot,off,on,on,0.086626,0.086626,0.086626,0.043313,0.086626,0.0
bart,plot,off,on,on,0.167916,0.167916,0.167916,0.083958,0.167916,0.0
bert,plot,off,on,on,0.145897,0.145897,0.145897,0.072948,0.145897,0.0
t5,plot,off,on,on,0.173145,0.173145,0.173145,0.086572,0.173145,0.0
