Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot+table,on,off,off,0.024086,0.206413,0.424379,0.102487,0.173062,24.503752,longformer_ext
plot+table,on,off,off,0.013348,0.157075,0.357508,0.069601,0.151175,23.942094,t5
plot,off,on,off,0.018343,0.13381,0.336029,0.061206,0.149146,11.311028,bart
plot,off,on,off,0.016475,0.267838,0.397025,0.067008,0.147838,-2.132851,bert
plot,off,on,off,0.004037,0.105794,0.278169,0.029982,0.103873,2.821548,longformer_ext
plot,off,on,off,0.005686,0.128737,0.3305,0.060549,0.14542,1.016056,t5
plot,off,on,off,0.051529,0.194254,0.470029,0.142993,0.205519,20.18574,bart
plot,off,on,off,0.029462,0.26904,0.412513,0.115711,0.155885,-0.942079,bert
plot,off,on,off,0.000124,0.048173,0.158602,0.018868,0.080645,14.053,longformer_ext
plot,off,on,off,0.010254,0.14248,0.372443,0.099245,0.176534,17.107258,t5
table,off,on,off,0.020528,0.143678,0.345679,0.044518,0.148148,4.010005,bart
table,off,on,off,0.012505,0.256089,0.365482,0.04403,0.138748,-4.453612,bert
table,off,on,off,0.010535,0.133432,0.308219,0.027444,0.155822,4.639673,longformer_ext
table,off,on,off,0.018851,0.132207,0.339589,0.060877,0.153709,15.815476,t5
table,off,on,off,0.043469,0.187902,0.373969,0.10101,0.172319,4.647178,bart
table,off,on,off,0.023125,0.242763,0.34179,0.09104,0.138822,-9.91653,bert
table,off,on,off,0.046536,0.22583,0.414141,0.099711,0.178932,-1.430425,longformer_ext
table,off,on,off,0.026634,0.154803,0.336468,0.098429,0.144201,18.090357,t5
plot+table,off,on,off,0.016144,0.161993,0.392478,0.075348,0.148814,5.768371,bart
plot+table,off,on,off,0.017539,0.281834,0.385292,0.0728,0.147082,1.044223,bert
plot+table,off,on,off,0.010712,0.147424,0.361331,0.030159,0.141046,16.720545,longformer_ext
plot+table,off,on,off,0.010697,0.150538,0.365812,0.059932,0.162393,18.45,t5
plot+table,off,on,off,0.044586,0.187409,0.407517,0.10109,0.183976,21.787414,bart
plot+table,off,on,off,0.029354,0.282918,0.418126,0.131959,0.163749,-2.843539,bert
