Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot+table,off,off,on,0.031556,0.281713,0.457447,0.109691,0.16383,-0.31574,bert
plot+table,off,off,on,0.011808,0.165094,0.368379,0.077593,0.131225,22.073055,longformer_ext
plot+table,off,off,on,0.004635,0.110024,0.298364,0.059788,0.127045,37.569334,t5
plot,on,off,on,0.042701,0.210303,0.484591,0.095847,0.204038,20.086538,bart
plot,on,off,on,0.010546,0.291672,0.390219,0.092708,0.148803,0.829567,bert
plot,on,off,on,0.027945,0.203418,0.380235,0.062081,0.145729,8.904442,longformer_ext
plot,on,off,on,0.006045,0.168967,0.395429,0.032073,0.139429,22.758333,t5
plot,on,off,on,0.003359,0.137674,0.368085,0.059701,0.142553,18.0542,bart
plot,on,off,on,0.008275,0.240858,0.462399,0.079652,0.14046,-1.652683,bert
plot,on,off,on,0.006411,0.160092,0.348039,0.04419,0.109477,-19.25587,longformer_ext
plot,on,off,on,0.002325,0.11739,0.320988,0.053993,0.13468,28.034372,t5
plot,on,off,on,0.019688,0.135893,0.360563,0.124177,0.176526,34.207097,bart
plot,on,off,on,0.020241,0.261036,0.454398,0.084279,0.148948,-2.9,bert
plot,on,off,on,0.025457,0.201704,0.397101,0.081277,0.150725,-2.032892,longformer_ext
plot,on,off,on,0.01079,0.126368,0.331481,0.057514,0.146296,11.214987,t5
table,on,off,on,0.042803,0.225401,0.439118,0.082613,0.166826,24.672147,bart
table,on,off,on,0.007461,0.260837,0.319158,0.070796,0.118737,0.871063,bert
table,on,off,on,0.024721,0.223058,0.393593,0.05806,0.143402,19.158184,longformer_ext
table,on,off,on,0.018122,0.185023,0.43406,0.058273,0.149533,29.318533,t5
table,on,off,on,0.007863,0.128853,0.323432,0.074972,0.129813,31.907083,bart
table,on,off,on,0.011062,0.247239,0.424859,0.063348,0.136723,-0.714077,bert
table,on,off,on,0.008328,0.143475,0.316498,0.028668,0.097643,-29.201778,longformer_ext
table,on,off,on,0.007828,0.14282,0.341667,0.058455,0.127083,30.374286,t5
table,on,off,on,0.015686,0.151134,0.392294,0.092982,0.15937,16.520489,bart
table,on,off,on,0.014035,0.268466,0.41261,0.087239,0.140009,-5.584157,bert
table,on,off,on,0.011266,0.121475,0.272,0.05609,0.12,-17.864494,longformer_ext
table,on,off,on,0.018833,0.166948,0.381197,0.070205,0.145299,18.134231,t5
plot+table,on,off,on,0.035689,0.207772,0.436663,0.070175,0.164779,17.486153,bart
plot+table,on,off,on,0.009694,0.268876,0.339946,0.069495,0.124436,3.116649,bert
plot+table,on,off,on,0.030055,0.195554,0.392229,0.057461,0.153562,22.171176,longformer_ext
plot+table,on,off,on,0.007865,0.16917,0.405316,0.051054,0.139535,19.738686,t5
plot+table,on,off,on,0.007893,0.176708,0.40398,0.071785,0.153234,29.165455,bart
plot+table,on,off,on,0.008527,0.260244,0.439443,0.074034,0.137192,5.187689,bert
plot+table,on,off,on,0.012083,0.179829,0.376206,0.045089,0.117363,-20.926324,longformer_ext
plot+table,on,off,on,0.005493,0.145252,0.34728,0.037736,0.135983,12.433019,t5
plot+table,on,off,on,0.032194,0.169467,0.397295,0.088061,0.157227,28.263474,bart
plot+table,on,off,on,0.014774,0.2802,0.435294,0.088768,0.141176,-1.699059,bert
plot+table,on,off,on,0.011461,0.163002,0.393917,0.056563,0.13034,17.733569,longformer_ext
plot+table,on,off,on,0.026332,0.17088,0.398986,0.093141,0.16568,32.29039,t5
plot,on,on,off,0.035379,0.24421,0.472517,0.077295,0.167792,11.452094,bart
plot,on,on,off,0.008092,0.270594,0.332326,0.07257,0.121709,-3.901652,bert
plot,on,on,off,0.032269,0.220541,0.432584,0.078799,0.157303,11.596099,longformer_ext
plot,on,on,off,0.012848,0.186485,0.434141,0.042239,0.128556,8.739218,t5
plot,on,on,off,0.010957,0.177106,0.429688,0.068493,0.146484,21.341507,bart
plot,on,on,off,0.010495,0.256447,0.446674,0.082452,0.138332,-2.726609,bert
plot,on,on,off,0.012379,0.16438,0.352841,0.033985,0.105174,3.022027,longformer_ext
plot,on,on,off,0.006341,0.148257,0.394394,0.062187,0.13013,17.772263,t5
plot,on,on,off,0.018125,0.162292,0.381113,0.097973,0.148398,16.421759,bart
plot,on,on,off,0.026446,0.282544,0.425778,0.107651,0.137778,-7.624637,bert
plot,on,on,off,0.030494,0.21265,0.406402,0.08223,0.140571,0.919916,longformer_ext
